"(PDH-CSV 4.0) (India Standard Time)(-330)","\\ZANXX1I9\Memory\% Committed Bytes In Use","\\ZANXX1I9\Memory\Available MBytes","\\ZANXX1I9\Processor Information(0,_Total)\% Processor Time","\\ZANXX1I9\Processor Information(_Total)\% Processor Time"
"02/25/2023 06:01:52.001","55.366360572019210906","13201"," "," "
"02/25/2023 06:01:53.008","55.361900142245431766","13190","2.021504018213504672","2.021504018213504672"
"02/25/2023 06:01:54.015","55.424120779015154881","13185","0.71440175634446267949","0.71440175634446267949"
"02/25/2023 06:01:55.008","55.499377254280112481","13168","2.3205393310548161345","2.3205393310548161345"
"02/25/2023 06:01:56.017","55.488023454204203233","13171","0.35365392339807844024","0.35365392339807844024"
"02/25/2023 06:01:57.007","55.490486453168671233","13171","0.24648966134415140061","0.24648966134415140061"
"02/25/2023 06:01:58.019","55.487122353046927969","13166","2.1892030659336980669","2.1892030659336980669"
"02/25/2023 06:01:59.004","55.484869623436793518","13158","0.29615767649936453054","0.29615767649936453054"
"02/25/2023 06:02:00.010","55.512217864280621882","13161","0.7394553302073614276","0.7394553302073614276"
"02/25/2023 06:02:01.025","55.495247234472834919","13157","1.3064533884094786664","1.3064533884094786664"
"02/25/2023 06:02:02.012","55.389563775479224716","13184","0","0"
"02/25/2023 06:02:02.999","55.438658445011512299","13182","2.3530972774587488594","2.3530972774587488594"
"02/25/2023 06:02:04.009","55.375461619201928443","13191","3.1965209756893764315","3.1965209756893764315"
"02/25/2023 06:02:05.018","55.356823968551317705","13198","0","0"
"02/25/2023 06:02:06.015","55.427259592206048922","13175","0.4698699882582646481","0.54823515367827813094"
"02/25/2023 06:02:07.004","55.427244574629533247","13176","0.30988805587206513792","0.30988805587206513792"
"02/25/2023 06:02:08.016","55.407510594326893738","13184","0","0"
